iter	Logloss
0	0.6662736088
1	0.6434600441
2	0.6207141429
3	0.5996737574
4	0.5805704554
5	0.5616133752
6	0.5443127584
7	0.528212643
8	0.5152923932
9	0.5003634923
10	0.4881044539
11	0.4767100361
12	0.4666755607
13	0.455749286
14	0.4471471141
15	0.437956686
16	0.4295207151
17	0.4214360113
18	0.4145307348
19	0.4073417717
20	0.4003527799
21	0.3933588492
22	0.388100494
23	0.3817650821
24	0.3764628431
25	0.3716046229
26	0.3662811489
27	0.3612660811
28	0.3567343568
29	0.3526815607
30	0.3495156253
31	0.3450685664
32	0.3415841472
33	0.3388754434
34	0.3359221457
35	0.3333541638
36	0.3302924026
37	0.3281499137
38	0.3256416344
39	0.3231531047
40	0.3208485115
41	0.3178818396
42	0.3154764259
43	0.3140188607
44	0.3117630199
45	0.3097204952
46	0.3082521659
47	0.3062326108
48	0.3045087174
49	0.3028965399
50	0.3015231138
51	0.300285918
52	0.2990013963
53	0.2975126799
54	0.2960838839
55	0.2944498612
56	0.2934235319
57	0.2922422254
58	0.2913550852
59	0.2900194442
60	0.289199877
61	0.2882462183
62	0.2871094921
63	0.2861463555
64	0.2852864435
65	0.2843045706
66	0.2834604599
67	0.2825187261
68	0.2817967552
69	0.281114788
70	0.2803010062
71	0.2796529578
72	0.2787390368
73	0.2778383365
74	0.2772983559
75	0.2765180057
76	0.2760002553
77	0.2754210846
78	0.274976826
79	0.2742950693
80	0.2736565192
81	0.273118854
82	0.272526548
83	0.2718816539
84	0.2714901857
85	0.2709616308
86	0.2704824914
87	0.2698964819
88	0.2695191767
89	0.2690708089
90	0.268569535
91	0.2681337864
92	0.2678251342
93	0.267355244
94	0.2669360641
95	0.2664696802
96	0.2661074284
97	0.2656977128
98	0.2653103957
99	0.2649013819
100	0.2645672858
101	0.2642975497
102	0.2639036385
103	0.2635421881
104	0.2633199613
105	0.2629056885
106	0.2624811303
107	0.2621628512
108	0.2619376034
109	0.2615187668
110	0.2612742285
111	0.2609399498
112	0.2607051284
113	0.2604028791
114	0.260127387
115	0.2597416731
116	0.2594762808
117	0.2592252985
118	0.2589279279
119	0.2587745689
120	0.2585792147
121	0.2583834001
122	0.2581717955
123	0.2579173593
124	0.2576833218
125	0.2574373547
126	0.2571511858
127	0.2569304993
128	0.2565748896
129	0.2563421463
130	0.2560366854
131	0.2558054064
132	0.2556625312
133	0.2552411703
134	0.2550586897
135	0.2548011276
136	0.2545711512
137	0.2543777382
138	0.2542034502
139	0.2539350461
140	0.253635807
141	0.2533615156
142	0.2532708168
143	0.2530566857
144	0.2528735784
145	0.2526039037
146	0.2524265958
147	0.2522261742
148	0.2519755995
149	0.251752529
150	0.251499625
151	0.2513608722
152	0.2511425548
153	0.2510369892
154	0.2508751983
155	0.250666744
156	0.25033534
157	0.2500591644
158	0.2498305936
159	0.2495389562
160	0.2492496411
161	0.248998787
162	0.2488261512
163	0.2486131207
164	0.2483999155
165	0.2481907623
166	0.248076214
167	0.2479462591
168	0.2477532568
169	0.2475907096
170	0.2474204345
171	0.2471740103
172	0.2470116897
173	0.2467655723
174	0.2465882444
175	0.2464529675
176	0.2462985784
177	0.2461546766
178	0.2458800801
179	0.2456880553
180	0.245425884
181	0.2451837099
182	0.245078221
183	0.2449405049
184	0.2447835143
185	0.2445562437
186	0.2443693829
187	0.2441800867
188	0.2439624264
189	0.2437582697
190	0.2435144908
191	0.2433686123
192	0.2431849052
193	0.2430700488
194	0.242947431
195	0.2427284954
196	0.2424923477
197	0.2422637465
198	0.2421153432
199	0.2420242941
200	0.2418194832
201	0.2416937637
202	0.2416143636
203	0.2414678655
204	0.2412823659
205	0.2410800235
206	0.240912089
207	0.2407657637
208	0.240536191
209	0.2402815417
210	0.2401607045
211	0.2399521478
212	0.2398618643
213	0.2397544269
214	0.239560928
215	0.2393387693
216	0.2390856526
217	0.2389200683
218	0.2387798549
219	0.2386721289
220	0.2385511545
221	0.238347164
222	0.2381164505
223	0.2379386179
224	0.2377280875
225	0.2376318475
226	0.2374211953
227	0.2372310258
228	0.2370745418
229	0.2369427261
230	0.2367395958
231	0.2365667687
232	0.2363803806
233	0.2363075911
234	0.2362198788
235	0.2360348031
236	0.2359556966
237	0.2356414586
238	0.2355034409
239	0.2353660073
240	0.2351395971
241	0.2350427617
242	0.2349085739
243	0.234707726
244	0.2345627447
245	0.2344199766
246	0.2342545972
247	0.2340562498
248	0.2338881099
249	0.2337636347
250	0.2336791849
251	0.2335810726
252	0.2333944785
253	0.2332503506
254	0.2331477013
255	0.2330732075
256	0.2328821028
257	0.2327311253
258	0.2326060334
259	0.2324323611
260	0.2322460954
261	0.2320991635
262	0.2319328406
263	0.2317501539
264	0.2316458433
265	0.2315857054
266	0.2314638459
267	0.2313190155
268	0.2312324326
269	0.2311157208
270	0.2309064758
271	0.2307753876
272	0.2306281636
273	0.2304581815
274	0.2302669527
275	0.2301428408
276	0.2299924462
277	0.2298587075
278	0.2297281686
279	0.2295618932
280	0.2294932797
281	0.2294005151
282	0.2292508962
283	0.2290105217
284	0.2287289395
285	0.2285763557
286	0.2284255417
287	0.2283059714
288	0.2281912475
289	0.228068399
290	0.2279644124
291	0.2278449837
292	0.2277268258
293	0.2275711619
294	0.2274531901
295	0.2273443267
296	0.2272184675
297	0.2270830852
298	0.226883303
299	0.226672756
300	0.2265719574
301	0.2264775513
302	0.2263601972
303	0.2262706367
304	0.2261623843
305	0.2260114482
306	0.225845753
307	0.2256729238
308	0.2255317209
309	0.2254391396
310	0.2253433943
311	0.2252176493
312	0.2250693138
