iter	Passed	Remaining
0	11	11229
1	21	10863
2	32	10786
3	43	10811
4	53	10734
5	63	10561
6	73	10478
7	83	10398
8	93	10343
9	104	10313
10	122	11002
11	132	10905
12	145	11037
13	155	10971
14	166	10931
15	177	10919
16	189	10973
17	200	10915
18	210	10864
19	220	10798
20	230	10730
21	240	10707
22	250	10647
23	260	10611
24	271	10573
25	281	10534
26	293	10559
27	303	10548
28	313	10511
29	324	10497
30	334	10463
31	345	10444
32	357	10489
33	368	10464
34	378	10441
35	390	10455
36	401	10439
37	411	10422
38	422	10399
39	432	10373
40	443	10372
41	453	10354
42	464	10329
43	474	10306
44	485	10303
45	497	10327
46	509	10330
47	520	10318
48	530	10294
49	540	10274
50	551	10261
51	561	10238
52	571	10212
53	583	10218
54	593	10200
55	608	10265
56	619	10247
57	629	10231
58	639	10201
59	649	10182
60	660	10171
61	670	10147
62	681	10129
63	691	10112
64	701	10092
65	713	10093
66	723	10079
67	736	10092
68	748	10105
69	760	10105
70	771	10091
71	783	10098
72	793	10082
73	804	10064
74	814	10045
75	824	10027
76	836	10029
77	849	10045
78	860	10033
79	871	10016
80	881	9999
81	892	9988
82	902	9969
83	912	9950
84	922	9933
85	932	9913
86	942	9893
87	953	9880
88	963	9863
89	975	9862
90	985	9848
91	995	9827
92	1005	9810
93	1016	9798
94	1026	9783
95	1037	9766
96	1047	9752
97	1057	9733
98	1067	9718
99	1078	9707
100	1089	9695
101	1101	9696
102	1111	9683
103	1122	9672
104	1132	9655
105	1143	9643
106	1154	9633
107	1166	9631
108	1176	9616
109	1186	9603
110	1196	9584
111	1206	9566
112	1216	9550
113	1226	9530
114	1236	9516
115	1247	9505
116	1257	9491
117	1268	9479
118	1279	9470
119	1289	9456
120	1299	9443
121	1310	9430
122	1320	9417
123	1331	9405
124	1346	9425
125	1358	9422
126	1369	9410
127	1379	9397
128	1390	9386
129	1400	9373
130	1411	9362
131	1421	9345
132	1431	9330
133	1441	9315
134	1451	9301
135	1462	9292
136	1473	9279
137	1483	9267
138	1494	9256
139	1504	9244
140	1517	9243
141	1528	9235
142	1542	9245
143	1555	9245
144	1565	9232
145	1576	9221
146	1589	9226
147	1599	9210
148	1610	9200
149	1622	9191
150	1632	9179
151	1643	9166
152	1653	9154
153	1663	9140
154	1674	9128
155	1685	9119
156	1695	9105
157	1705	9091
158	1716	9076
159	1729	9081
160	1742	9081
161	1754	9076
162	1766	9071
163	1777	9060
164	1788	9049
165	1798	9036
166	1809	9026
167	1820	9014
168	1838	9038
169	1848	9026
170	1859	9013
171	1870	9005
172	1880	8989
173	1890	8974
174	1900	8961
175	1910	8945
176	1921	8935
177	1932	8923
178	1943	8911
179	1953	8898
180	1964	8887
181	1974	8874
182	1985	8862
183	1995	8851
184	2006	8838
185	2016	8825
186	2027	8815
187	2037	8800
188	2047	8786
189	2057	8772
190	2067	8758
191	2080	8755
192	2091	8743
193	2101	8732
194	2113	8725
195	2124	8713
196	2134	8701
197	2144	8687
198	2154	8673
199	2164	8659
200	2175	8647
201	2185	8632
202	2195	8619
203	2205	8604
204	2215	8590
205	2225	8579
206	2236	8567
207	2246	8555
208	2257	8544
209	2267	8531
210	2278	8520
211	2289	8510
212	2299	8497
213	2311	8490
214	2326	8492
215	2336	8482
216	2347	8471
217	2358	8459
218	2368	8447
219	2379	8435
220	2389	8421
221	2399	8408
222	2409	8395
223	2419	8382
224	2431	8374
225	2441	8361
226	2452	8351
227	2463	8339
228	2473	8328
229	2484	8316
230	2494	8304
231	2506	8296
232	2516	8283
233	2526	8269
234	2536	8255
235	2545	8241
236	2556	8229
237	2570	8230
238	2580	8217
239	2591	8206
240	2602	8195
241	2612	8183
242	2623	8173
243	2634	8161
244	2643	8146
245	2653	8133
246	2664	8124
247	2675	8111
248	2685	8099
249	2696	8088
250	2707	8080
251	2718	8068
252	2729	8059
253	2742	8054
254	2754	8048
255	2767	8041
256	2777	8030
257	2788	8018
258	2798	8007
259	2812	8003
260	2823	7994
261	2834	7983
262	2846	7977
263	2857	7965
264	2867	7953
265	2877	7940
266	2887	7927
267	2898	7915
268	2909	7906
269	2920	7895
270	2931	7885
271	2942	7874
272	2952	7861
273	2962	7850
274	2973	7839
275	2984	7827
276	2994	7816
277	3005	7805
278	3015	7792
279	3025	7780
280	3036	7768
281	3046	7756
282	3061	7756
283	3073	7748
284	3083	7736
285	3093	7723
286	3105	7715
287	3116	7703
288	3126	7691
289	3136	7679
290	3146	7666
291	3157	7655
292	3167	7643
293	3178	7631
294	3188	7620
295	3198	7608
296	3209	7596
297	3219	7585
298	3230	7573
299	3240	7560
300	3250	7548
301	3260	7535
302	3271	7524
303	3281	7512
304	3292	7501
305	3306	7498
306	3317	7489
307	3327	7476
308	3337	7464
309	3348	7453
310	3358	7439
311	3368	7428
312	3379	7416
313	3389	7404
314	3400	7393
315	3410	7383
316	3421	7372
317	3432	7361
318	3442	7349
319	3452	7336
320	3463	7325
321	3473	7314
322	3484	7303
323	3495	7293
324	3506	7281
325	3516	7270
326	3527	7259
327	3537	7248
328	3551	7243
329	3561	7231
330	3571	7219
331	3581	7206
332	3592	7195
333	3601	7182
334	3612	7171
335	3623	7161
336	3634	7150
337	3645	7140
338	3656	7129
339	3666	7117
340	3677	7106
341	3689	7097
342	3699	7085
343	3709	7073
344	3719	7061
345	3729	7049
346	3741	7040
347	3753	7033
348	3766	7026
349	3776	7013
350	3790	7009
351	3800	6997
352	3811	6986
353	3822	6975
354	3832	6963
355	3844	6954
356	3856	6945
357	3865	6932
358	3878	6924
359	3888	6913
360	3898	6901
361	3909	6889
362	3919	6878
363	3930	6866
364	3940	6854
365	3950	6843
366	3960	6831
367	3971	6820
368	3981	6808
369	3991	6796
370	4001	6784
371	4012	6772
372	4021	6760
373	4034	6752
374	4044	6740
375	4055	6729
376	4066	6720
377	4077	6710
378	4096	6711
379	4108	6702
380	4120	6693
381	4131	6683
382	4143	6674
383	4155	6665
384	4166	6656
385	4178	6647
386	4190	6637
387	4201	6627
388	4215	6620
389	4228	6613
390	4239	6603
391	4252	6594
392	4266	6589
393	4283	6588
394	4296	6580
395	4309	6572
396	4319	6560
397	4329	6548
398	4340	6537
399	4350	6525
400	4360	6513
401	4371	6502
402	4382	6491
403	4392	6479
404	4402	6467
405	4412	6455
406	4422	6443
407	4432	6431
408	4442	6419
409	4452	6406
410	4463	6397
411	4474	6385
412	4484	6373
413	4494	6362
414	4505	6350
415	4515	6338
416	4532	6336
417	4543	6325
418	4553	6313
419	4563	6302
420	4574	6290
421	4584	6279
422	4595	6267
423	4605	6256
424	4616	6245
425	4626	6233
426	4637	6222
427	4647	6210
428	4658	6200
429	4668	6188
430	4679	6177
431	4689	6165
432	4699	6154
433	4710	6142
434	4720	6131
435	4730	6119
436	4741	6108
437	4751	6096
438	4762	6085
439	4778	6081
440	4791	6073
441	4803	6064
442	4814	6052
443	4823	6040
444	4833	6028
445	4845	6019
446	4857	6009
447	4868	5998
448	4879	5987
449	4889	5976
450	4899	5964
451	4910	5953
452	4920	5941
453	4930	5929
454	4940	5918
455	4950	5906
456	4960	5894
457	4970	5882
458	4980	5870
459	4990	5858
460	5001	5847
461	5012	5837
462	5023	5826
463	5034	5815
464	5046	5806
465	5056	5794
466	5067	5783
467	5077	5771
468	5087	5759
469	5097	5747
470	5107	5735
471	5117	5724
472	5127	5712
473	5137	5701
474	5147	5689
475	5157	5678
476	5168	5666
477	5178	5655
478	5188	5643
479	5199	5632
480	5209	5620
481	5220	5610
482	5230	5598
483	5241	5588
484	5252	5577
485	5267	5570
486	5277	5559
487	5288	5548
488	5299	5537
489	5310	5526
490	5320	5515
491	5330	5504
492	5340	5492
493	5350	5480
494	5360	5469
495	5371	5458
496	5381	5446
497	5391	5435
498	5402	5424
499	5413	5413
500	5423	5402
501	5435	5392
502	5446	5381
503	5456	5369
504	5467	5358
505	5477	5347
506	5487	5335
507	5497	5324
508	5510	5315
509	5520	5303
510	5530	5292
511	5540	5281
512	5551	5270
513	5562	5259
514	5572	5247
515	5582	5236
516	5593	5225
517	5603	5214
518	5613	5202
519	5625	5192
520	5635	5181
521	5645	5169
522	5656	5158
523	5666	5147
524	5676	5136
525	5687	5125
526	5697	5114
527	5708	5102
528	5718	5091
529	5728	5080
530	5739	5069
531	5754	5062
532	5767	5052
533	5780	5044
534	5790	5032
535	5800	5021
536	5811	5010
537	5822	5000
538	5833	4989
539	5844	4978
540	5857	4969
541	5867	4957
542	5878	4947
543	5888	4936
544	5898	4924
545	5908	4912
546	5918	4901
547	5928	4889
548	5938	4878
549	5948	4866
550	5958	4855
551	5968	4844
552	5979	4832
553	5989	4821
554	6002	4813
555	6014	4802
556	6025	4792
557	6035	4781
558	6046	4769
559	6055	4758
560	6065	4746
561	6076	4735
562	6086	4724
563	6097	4713
564	6107	4702
565	6118	4691
566	6129	4680
567	6139	4669
568	6149	4658
569	6159	4646
570	6170	4635
571	6180	4624
572	6190	4613
573	6200	4602
574	6212	4591
575	6223	4580
576	6234	4570
577	6247	4561
578	6258	4550
579	6268	4539
580	6278	4528
581	6288	4516
582	6298	4505
583	6308	4493
584	6318	4482
585	6329	4471
586	6339	4460
587	6349	4449
588	6360	4438
589	6370	4426
590	6380	4415
591	6391	4404
592	6403	4395
593	6414	4384
594	6425	4373
595	6434	4361
596	6445	4350
597	6455	4339
598	6465	4328
599	6475	4317
600	6487	4306
601	6499	4296
602	6509	4285
603	6520	4274
604	6531	4264
605	6541	4253
606	6551	4241
607	6561	4230
608	6572	4220
609	6582	4208
610	6594	4198
611	6605	4187
612	6616	4177
613	6626	4165
614	6636	4154
615	6646	4143
616	6657	4132
617	6667	4121
618	6678	4110
619	6687	4099
620	6698	4088
621	6708	4076
622	6718	4065
623	6731	4056
624	6741	4044
625	6751	4033
626	6762	4022
627	6772	4011
628	6785	4001
629	6797	3992
630	6811	3983
631	6824	3973
632	6834	3962
633	6846	3952
634	6857	3941
635	6868	3931
636	6878	3920
637	6889	3909
638	6900	3898
639	6910	3887
640	6920	3876
641	6931	3864
642	6941	3853
643	6951	3842
644	6962	3832
645	6972	3820
646	6988	3813
647	6999	3802
648	7010	3791
649	7020	3780
650	7030	3769
651	7040	3757
652	7050	3746
653	7060	3735
654	7070	3724
655	7080	3712
656	7090	3701
657	7100	3690
658	7110	3679
659	7121	3668
660	7131	3657
661	7141	3646
662	7152	3635
663	7162	3624
664	7174	3614
665	7184	3603
666	7194	3591
667	7205	3581
668	7215	3570
669	7229	3560
670	7239	3549
671	7249	3538
672	7260	3527
673	7270	3516
674	7281	3505
675	7291	3494
676	7302	3483
677	7312	3473
678	7323	3462
679	7333	3450
680	7353	3444
681	7365	3434
682	7375	3423
683	7386	3412
684	7397	3401
685	7407	3390
686	7418	3379
687	7429	3368
688	7439	3358
689	7450	3347
690	7460	3336
691	7473	3326
692	7483	3315
693	7494	3304
694	7504	3293
695	7515	3282
696	7526	3271
697	7536	3260
698	7546	3249
699	7558	3239
700	7569	3228
701	7579	3217
702	7589	3206
703	7600	3195
704	7611	3185
705	7621	3173
706	7632	3163
707	7643	3152
708	7653	3141
709	7664	3130
710	7674	3119
711	7686	3109
712	7699	3099
713	7711	3088
714	7725	3079
715	7734	3068
716	7746	3057
717	7756	3046
718	7766	3035
719	7778	3025
720	7791	3015
721	7804	3005
722	7815	2994
723	7825	2983
724	7835	2971
725	7846	2961
726	7858	2950
727	7868	2939
728	7878	2928
729	7889	2917
730	7899	2907
731	7910	2896
732	7920	2885
733	7930	2873
734	7942	2863
735	7953	2852
736	7966	2842
737	7976	2831
738	7987	2820
739	7997	2809
740	8007	2798
741	8017	2787
742	8028	2776
743	8038	2765
744	8048	2754
745	8058	2743
746	8068	2732
747	8078	2721
748	8088	2710
749	8098	2699
750	8108	2688
751	8119	2677
752	8129	2666
753	8142	2656
754	8152	2645
755	8163	2634
756	8174	2623
757	8184	2613
758	8194	2602
759	8210	2592
760	8221	2582
761	8232	2571
762	8242	2560
763	8253	2549
764	8264	2538
765	8274	2527
766	8284	2516
767	8295	2505
768	8305	2494
769	8316	2484
770	8326	2473
771	8339	2462
772	8349	2451
773	8359	2441
774	8370	2430
775	8380	2419
776	8390	2408
777	8400	2397
778	8410	2386
779	8420	2375
780	8430	2363
781	8440	2352
782	8453	2342
783	8464	2331
784	8474	2320
785	8485	2310
786	8495	2299
787	8505	2288
788	8515	2277
789	8528	2267
790	8538	2255
791	8548	2245
792	8559	2234
793	8569	2223
794	8579	2212
795	8590	2201
796	8600	2190
797	8610	2179
798	8621	2168
799	8631	2157
800	8641	2146
801	8652	2136
802	8662	2125
803	8673	2114
804	8684	2103
805	8697	2093
806	8707	2082
807	8719	2072
808	8730	2061
809	8741	2050
810	8751	2039
811	8762	2028
812	8772	2017
813	8782	2006
814	8793	1996
815	8805	1985
816	8818	1975
817	8830	1964
818	8840	1953
819	8851	1942
820	8863	1932
821	8874	1921
822	8885	1910
823	8895	1900
824	8907	1889
825	8918	1878
826	8928	1867
827	8941	1857
828	8951	1846
829	8962	1835
830	8972	1824
831	8983	1813
832	8994	1803
833	9004	1792
834	9015	1781
835	9025	1770
836	9035	1759
837	9044	1748
838	9055	1737
839	9065	1726
840	9076	1715
841	9086	1705
842	9096	1694
843	9108	1683
844	9119	1672
845	9129	1661
846	9140	1651
847	9150	1640
848	9161	1629
849	9171	1618
850	9184	1608
851	9194	1597
852	9205	1586
853	9216	1575
854	9227	1564
855	9238	1554
856	9248	1543
857	9258	1532
858	9268	1521
859	9278	1510
860	9289	1499
861	9301	1489
862	9313	1478
863	9323	1467
864	9334	1456
865	9344	1445
866	9355	1435
867	9366	1424
868	9376	1413
869	9386	1402
870	9397	1391
871	9407	1380
872	9418	1370
873	9431	1359
874	9442	1348
875	9453	1338
876	9463	1327
877	9473	1316
878	9483	1305
879	9495	1294
880	9507	1284
881	9517	1273
882	9528	1262
883	9538	1251
884	9548	1240
885	9559	1229
886	9569	1219
887	9580	1208
888	9590	1197
889	9600	1186
890	9610	1175
891	9619	1164
892	9629	1153
893	9640	1143
894	9650	1132
895	9660	1121
896	9670	1110
897	9685	1100
898	9696	1089
899	9706	1078
900	9716	1067
901	9727	1056
902	9736	1045
903	9747	1035
904	9757	1024
905	9767	1013
906	9778	1002
907	9788	991
908	9801	981
909	9814	970
910	9827	960
911	9838	949
912	9848	938
913	9860	927
914	9872	917
915	9884	906
916	9894	895
917	9905	884
918	9916	873
919	9928	863
920	9938	852
921	9949	841
922	9959	830
923	9970	820
924	9981	809
925	9990	798
926	10001	787
927	10011	776
928	10021	765
929	10032	755
930	10043	744
931	10053	733
932	10064	722
933	10076	712
934	10086	701
935	10096	690
936	10107	679
937	10117	668
938	10127	657
939	10137	647
940	10148	636
941	10158	625
942	10171	614
943	10182	604
944	10192	593
945	10203	582
946	10213	571
947	10224	560
948	10234	550
949	10245	539
950	10254	528
951	10267	517
952	10277	506
953	10288	496
954	10298	485
955	10309	474
956	10319	463
957	10330	452
958	10341	442
959	10351	431
960	10361	420
961	10372	409
962	10382	398
963	10392	388
964	10402	377
965	10421	366
966	10434	356
967	10447	345
968	10460	334
969	10471	323
970	10485	313
971	10498	302
972	10511	291
973	10524	280
974	10536	270
975	10546	259
976	10557	248
977	10571	237
978	10584	227
979	10597	216
980	10606	205
981	10617	194
982	10627	183
983	10636	172
984	10647	162
985	10661	151
986	10671	140
987	10682	129
988	10692	118
989	10703	108
990	10713	97
991	10723	86
992	10734	75
993	10744	64
994	10754	54
995	10764	43
996	10775	32
997	10786	21
998	10797	10
999	10810	0
