,user_id,number_of_cards,outstanding,credit_limit,bill,total_cash_usage,total_retail_usage,remaining_bill,branch_code,payment_ratio,overlimit_percentage,payment_ratio_3month,payment_ratio_6month,delinquency_score,default_flag,years_since_card_issuing,total_usage,remaining_bill_per_number_of_cards,remaining_bill_per_limit,total_usage_per_limit,total_3mo_usage_per_limit,total_6mo_usage_per_limit,utilization_3month,utilization_6month
0,2.0,2.0,268691.0,10000000.0,254564.0,0.0,1012.0,0.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1012.0,0.0,0.0,0.00010120000000000001,0.0,0.0,0.004231625,0.0003
2,5.0,2.0,9402085.0,10000000.0,6099283.0,0.0,2666558.0,5951865.0,A,95.99,0.0,97.49,99.84,0.0,0.0,1.6666666669999999,2666558.0,2975932.5,0.5951865,0.2666558,0.323027,0.131162467,0.707865025,0.336571367
3,6.0,2.0,6227439.0,80000000.0,2081248.0,0.0,3690250.0,4613435.0,A,0.0,0.0,28.46,42.03,0.0,0.0,10.25,3690250.0,2306717.5,0.057667937999999995,0.046128125,0.017184375,0.117513096,0.038963606,0.18186342100000003
4,7.0,2.0,3906290.0,4000000.0,2043682.0,0.0,230400.0,3314046.0,A,18.47,0.0,24.95,17.89,0.0,0.0,4.666666667,230400.0,1657023.0,0.8285115,0.0576,0.01875,0.16666666800000002,1.014775813,0.977230833
5,8.0,4.0,9534837.0,20000000.0,3692028.0,0.0,9327612.0,7881069.0,A,58.55,0.0,105.24,166.67,0.0,0.0,0.75,9327612.0,1970267.25,0.39405345,0.4663806,0.2392893,0.24159869399999997,0.261753338,0.22402625
7,11.0,4.0,55520052.0,84000000.0,12626615.0,0.0,31036235.0,0.0,A,100.0,0.0,100.0,100.0,0.0,0.0,14.5,31036235.0,0.0,0.0,0.36947898799999995,0.164046339,0.19530254,0.39665598799999996,0.23033644399999997
9,15.0,3.0,8640053.0,7000000.0,8035169.0,0.0,326100.0,8269767.0,A,17.53,23.26,29.47,24.24,0.0,0.0,6.666666667,326100.0,2756589.0,1.1813952859999999,0.046585714,0.250685714,0.23931904699999998,1.163175571,1.416155476
10,17.0,4.0,39700203.0,100000000.0,5366000.0,0.0,3101354.0,0.0,A,99.9,0.0,75.01,74.41,0.0,0.0,11.58333333,3101354.0,0.0,0.0,0.03101354,0.0,0.212714983,0.388039143,0.48633924700000003
12,20.0,2.0,701019.0,4000000.0,306224.0,0.0,457725.0,0.0,A,100.0,0.0,100.0,100.0,0.0,0.0,2.75,457725.0,0.0,0.0,0.11443125,0.140283438,0.0415,0.13060025,0.076377
13,21.0,3.0,13895389.0,13000000.0,13552786.0,0.0,1583400.0,0.0,A,164.09,0.0,98.12,100.0,0.0,0.0,12.41666667,1583400.0,0.0,0.0,0.1218,0.6771906540000001,0.21697443600000002,0.637737731,0.205422462
15,25.0,2.0,87473.0,20000000.0,76472.0,0.0,9653.0,0.0,A,0.0,0.0,0.0,0.0,0.0,0.0,2.25,9653.0,0.0,0.0,0.00048265,0.000478325,0.0,0.002669388,0.0
16,28.0,5.0,34400963.0,75000000.0,15919380.0,0.0,19725000.0,0.0,A,100.0,0.0,100.0,100.0,0.0,0.0,11.75,19725000.0,0.0,0.0,0.263,0.19947779999999998,0.24868380399999998,0.35895802299999996,0.39421804
17,30.0,2.0,8274519.0,9000000.0,8895441.0,0.0,453615.0,8187963.0,A,0.0,0.0,10.31,9.82,0.0,0.0,2.75,453615.0,4093981.5,0.9097736670000001,0.050401667000000004,0.0578,0.073952963,0.9114989720000001,0.8830561109999999
18,33.0,2.0,20677879.0,20000000.0,16368603.0,0.0,3930500.0,20585838.0,A,10.12,3.62,53.04,99.83,0.0,0.0,0.916666667,3930500.0,10292919.0,1.0292919,0.196525,0.217989425,0.37957255,0.839397013,0.3786873
25,47.0,2.0,101091439.0,89000000.0,75619978.0,0.0,1029809.0,98145225.0,A,0.0,8.41,25.09,66.67,0.0,0.0,7.0,1029809.0,49072612.5,1.102755337,0.011570888,0.065478385,0.143519674,1.175830458,1.072658655
26,49.0,2.0,3411278.0,6000000.0,2512956.0,0.0,2371574.0,0.0,A,99.73,0.0,99.77,99.82,0.0,0.0,6.75,2371574.0,0.0,0.0,0.39526233299999997,0.45844208299999994,0.228860555,0.50699575,0.450060167
29,52.0,3.0,9066848.0,80000000.0,1583655.0,0.0,501640.0,0.0,A,103.45,0.0,100.2,100.03,0.0,0.0,1.75,501640.0,0.0,0.0,0.0062705,0.009309656,0.014731658,0.122994925,0.125477554
30,53.0,2.0,8455504.0,59000000.0,2444783.0,0.0,5722000.0,0.0,A,101.2,0.0,107.46,100.91,0.0,0.0,6.5,5722000.0,0.0,0.0,0.096983051,0.104708699,0.129092169,0.12663993199999998,0.146443294
31,55.0,3.0,25205710.0,30000000.0,15305099.0,0.0,450000.0,26562496.0,A,24.07,2.15,24.61,15.96,0.0,0.0,3.083333333,450000.0,8854165.332999999,0.885416533,0.015,0.0625,0.0,1.340845267,1.4072043330000001
32,56.0,2.0,4280389.0,10000000.0,2212663.0,0.0,2000000.0,0.0,A,100.0,0.0,100.12,100.48,0.0,0.0,4.5,2000000.0,0.0,0.0,0.2,0.24316555,0.10166666699999999,0.1963188,0.200199433
37,63.0,2.0,15362171.0,13000000.0,15636016.0,0.0,52000.0,15449105.0,A,0.0,16.63,4.91,14.06,0.0,1.0,10.66666667,52000.0,7724552.5,1.188392692,0.004,0.006355769,0.017325513,1.078112096,1.0468303079999999
38,64.0,3.0,4327068.0,7000000.0,3311700.0,0.0,3228794.0,4750114.0,A,100.0,0.0,75.56,66.67,0.0,0.0,11.83333333,3228794.0,1583371.333,0.6785877140000001,0.461256286,0.28571428600000004,0.25683047600000003,0.378177143,0.255704333
39,65.0,2.0,7914612.0,13000000.0,6101313.0,0.0,1682000.0,7297467.0,A,30.3,0.0,29.83,92.87,0.0,0.0,5.0,1682000.0,3648733.5,0.561343615,0.129384615,0.11125982699999999,0.260028513,0.596084135,0.22789115399999998
40,66.0,2.0,324553.0,5000000.0,305193.0,0.0,71000.0,290873.0,A,0.0,0.0,75.0,109.71,0.0,0.0,5.166666667,71000.0,145436.5,0.0581746,0.0142,0.0277998,0.050789999999999995,0.0278385,0.08243233400000001
41,72.0,4.0,2179039.0,20000000.0,2166774.0,0.0,1333540.0,2653632.0,A,0.0,0.0,75.0,50.81,0.0,0.0,3.416666667,1333540.0,663408.0,0.1326816,0.066677,0.02935,0.007836667,0.037730413,0.015649917
42,73.0,4.0,7821818.0,7000000.0,8231678.0,0.0,454996.0,7883797.0,A,0.0,11.98,7.5,19.1,0.0,0.0,17.25,454996.0,1970949.25,1.1262567140000002,0.064999429,0.09223571400000001,0.047265904000000004,0.8185451429999999,0.60690781
44,76.0,3.0,10788784.0,7000000.0,8491049.0,700000.0,1106768.0,10142774.0,A,7.31,54.13,7.23,20.15,0.0,0.0,9.75,1806768.0,3380924.667,1.4489677140000001,0.258109714,0.082365393,0.284368096,1.33822375,1.298549381
45,77.0,2.0,2984329.0,8000000.0,2658410.0,0.0,706305.0,2985347.0,A,17.27,0.0,46.21,66.67,0.0,0.0,3.333333333,706305.0,1492673.5,0.373168375,0.088288125,0.075030563,0.0,0.309743719,0.230551625
47,80.0,3.0,17228771.0,20000000.0,11778013.0,0.0,5693659.0,16697995.0,A,58.17,0.0,84.31,101.19,0.0,0.0,8.166666667000001,5693659.0,5565998.333,0.83489975,0.28468295,0.334390675,0.39219676700000006,0.624839338,0.381944884
49,84.0,3.0,5326730.0,25000000.0,2909294.0,0.0,2017956.0,4657138.0,A,71.22,0.0,70.05,98.69,0.0,0.0,8.666666667000001,2017956.0,1552379.333,0.18628552,0.08071824,0.40841998,0.38842288,0.48507454,0.7693558000000001
51,87.0,5.0,17650302.0,21000000.0,12294525.0,0.0,4918000.0,12723213.0,A,37.25,0.0,65.38,43.25,0.0,0.0,12.58333333,4918000.0,2544642.6,0.6058672860000001,0.234190476,0.17734942899999998,0.16660727,0.595085083,0.517432873
54,97.0,5.0,45178939.0,50000000.0,4469305.0,0.0,16860354.0,0.0,A,100.0,0.0,100.0,100.0,0.0,0.0,5.75,16860354.0,0.0,0.0,0.33720708,0.269226205,0.073617207,0.62342844,0.38056156700000005
56,100.0,5.0,8409156.0,10000000.0,9253239.0,0.0,455900.0,8434377.0,A,15.76,0.0,10.22,21.13,0.0,0.0,11.91666667,455900.0,1686875.4,0.8434377000000001,0.04559,0.06385980000000001,0.0515,0.84020275,0.8629966999999998
57,101.0,3.0,42080121.0,39000000.0,38750329.0,0.0,5581172.0,42337498.0,A,16.67,5.12,10.99,10.92,0.0,1.0,13.25,5581172.0,14112499.33,1.085576872,0.143106974,0.097196545,0.132862051,1.020597962,1.0162182990000002
58,102.0,2.0,49523698.0,52000000.0,25619524.0,0.0,7052415.0,54199747.0,A,14.78,6.53,18.97,8.54,0.0,0.0,8.75,7052415.0,27099873.5,1.042302827,0.135623365,0.055302885,0.228525641,0.887410125,0.8585408459999999
59,103.0,3.0,10474901.0,41000000.0,10404990.0,0.0,2311500.0,14035025.0,A,75.65,0.0,67.0,57.05,0.0,0.0,7.166666667,2311500.0,4678341.666999999,0.342317683,0.056378049000000006,0.17083504300000002,0.064971919,0.194241274,0.098379138
62,110.0,2.0,5808009.0,6000000.0,4651087.0,0.0,1462713.0,0.0,A,100.0,0.0,74.92,66.67,0.0,0.0,5.166666667,1462713.0,0.0,0.0,0.2437855,0.6299625,0.070621555,0.770689167,0.09214866699999999
63,112.0,3.0,10549114.0,39000000.0,4577088.0,0.0,4371200.0,0.0,A,100.0,0.0,100.02,99.24,0.0,0.0,13.16666667,4371200.0,0.0,0.0,0.112082051,0.215739538,0.22069771800000001,0.251776173,0.215704726
65,116.0,2.0,5178561.0,6000000.0,4740303.0,0.0,527496.0,4923205.0,A,56.85,0.0,19.13,69.97,0.0,0.0,8.833333332999999,527496.0,2461602.5,0.820534167,0.087916,0.159629167,0.40424222200000004,0.941473167,0.9264296670000001
66,117.0,2.0,2883560.0,3000000.0,2795521.0,0.0,50000.0,2888880.0,A,10.08,0.0,21.84,17.68,0.0,0.0,0.75,50000.0,1444440.0,0.96296,0.016666667,0.16228916699999998,0.277688667,0.926630417,1.002411443
67,119.0,2.0,2925674.0,4000000.0,2392610.0,0.0,307265.0,0.0,A,100.0,0.0,100.0,44.05,0.0,0.0,2.0,307265.0,0.0,0.0,0.07681625,0.26037875,0.142763583,0.535553625,0.1720785
68,120.0,2.0,1104160.0,7000000.0,880675.0,0.0,267249.0,0.0,A,100.0,0.0,99.72,100.0,0.0,0.0,3.5,267249.0,0.0,0.0,0.038178429,0.033959286,0.13965823900000002,0.22009428600000003,0.27717319
69,122.0,5.0,16912188.0,68000000.0,5082567.0,0.0,4226553.0,10807711.0,A,100.0,0.0,100.0,53.88,0.0,0.0,7.75,4226553.0,2161542.2,0.158936926,0.062155191,0.078522103,0.007352941,0.198695596,0.0
72,130.0,4.0,9384116.0,57000000.0,8450471.0,0.0,789870.0,9513223.0,A,17.75,0.0,20.41,31.59,0.0,0.0,10.75,789870.0,2378305.75,0.166898649,0.013857368,0.018311412,0.031123895,0.215778193,0.30249219899999996
74,133.0,2.0,49436461.0,48000000.0,24704149.0,0.0,100000.0,44146980.0,A,0.0,2.11,47.06,59.38,0.0,1.0,14.25,100000.0,22073490.0,0.91972875,0.0020833329999999997,0.072757396,0.078400194,0.933404682,0.8147707359999999
75,137.0,4.0,40694972.0,36000000.0,37754972.0,0.0,89000.0,0.0,A,84.8,0.0,81.8,101.5,0.0,0.0,7.666666667,89000.0,0.0,0.0,0.002472222,0.8563055559999999,1.095601852,1.017793938,1.012317972
76,141.0,6.0,40466328.0,51000000.0,41970110.0,0.0,1203059.0,40251125.0,A,32.58,0.0,10.48,7.43,0.0,0.0,8.75,1203059.0,6708520.833,0.789237745,0.023589392,0.077147966,0.073202621,0.8144774359999999,0.833135765
80,146.0,3.0,1721164.0,28000000.0,399218.0,0.0,1590000.0,0.0,A,0.0,0.0,113.14,78.04,0.0,0.0,11.91666667,1590000.0,0.0,0.0,0.056785714,0.0434335,0.09283119,0.027723393,0.09807639300000001
83,153.0,3.0,44872441.0,71000000.0,29202987.0,0.0,321198.0,35989542.0,A,12.29,0.0,10.84,11.46,0.0,0.0,11.41666667,321198.0,11996514.0,0.506894958,0.004523915,0.0,0.011596243999999999,1.0963806440000001,1.15696561
85,155.0,2.0,5356229.0,5000000.0,5373285.0,0.0,20000.0,5366278.0,A,0.0,7.13,13.13,10.05,0.0,1.0,1.75,20000.0,2683139.0,1.0732556,0.004,0.0635125,0.0,1.0065374,0.9960510659999999
